ulakas	ulakkad
olema	`ol'lid
juba	juba
et	et
need	neid
trahvima	trahvitti
ka	kaa
kui	ku
nemad	nad
juba	juba
vägisi	vägisi
inimene	inimesi
vägistama	vägistasid
ja	ja
vedama	vidasid
siit	siit
sinna	`sinna
ja	ja
ega	ega
see	see
olema	põlnd
ju	ju
see	sell
aeg	aal
ka	ka
luba	luba
ega	ega
õigus	`õigus
ühti	`ühti
nii+sugune	nisukke
nimi	nimi
tema	talle
andma	`anttud
no+jah	no+jahh
vaatama	`vaatta
Röövli+auk	`Röövle+auk
ja	ja
see	see
see	see
auk	auk
olema	olnd
siis	s
ka	ka
õõnes	`õõness
tegema	`tehtud
sinna	`sinna
maa	maa
sisse	`sisse
seoke	`seokke
kõrge	`kõrge
nukk	nukk
ja	ja
vaatama	vaadakke
kui	kui
teie	te
meie	meil
käima	keisitte
juba	juba
siis	siis
teie	te
nägema	nägitte
kah	kahh
natuke	nattukke
maa	maad
siia	siija
Tori	Tori
poole	poole
tulema	`tulla
kui	ku
teie	te
Tori	Tori
poolt	poolt
tulema	tul'lide
vasak	vasakkud
käsi	kätt
seoke	`seokke
kõrge	`kerge
nukk	nukk
ja	ja
seal	seal
olema	`ol'li
siis	siiss
üks	üks
kaju	kaeu
mis	miss
nüüd	nüid
Kaasik	Kaasikkud
tegema	tegid
oma	oma
tee	tee
just	just
sinna	`senna
koht	`kohta
sinna	`senna
kaju	kaeu
äärde	`ääre
aga	aga
kaju	kaeu
jääma	jäi
kõrva	`kõrva
jälle	jälle
seoke	`seokke
allikas	al'likka
kaju	kaeu
olema	`ol'li
ja	ja
vana	vana
tamm	tamme
puu	puu
suur	suur
suur	suur
nõu	nõu
olema	`ol'li
tamme+puu	tamme+buust
nõu	nõu
olema	`ol'li
sees	sihis
ja	ja
see	see
pidama	piab
praegu	`praegu
alles	alles
olema	olema
ja	ja
kas	kas
sina	sa
teadma	tiad
see	see
pidama	pidas
alati	alatti
ja	ja
nii	nii
hea	ia
vesi	vesi
tema	tall
olema	`ol'li
nii	nii
selge	`sel'ge
kui	kue
sina	sa
tema	ta
puhas	`puhtas
tegema	tegid
seest	seest
pesema	`pes'sid
nõu	nõu
puhas	`puhtase
ja	ja
see	selle
põhi	põeha
ka	ka
mis	miss
seal	seal
all	all
olema	`ol'li
see	see
olema	`ol'li
nii	nii
puhas	puhas
ja	ja
just+kui	just+kui
seoke	`seokke
tsement+põhi	semen't+põhe
olema	`ol'li
aga	aga
vesi	vesi
jooksma	`joosis
all	all
valge	`valge
vesi	vesi
nii	nii
mis	miss
sirinal	sirinal
alla	`alla
jälle	jälle
nii	nii
toredasti	toredaste
kohe	kohe
ja	ja
nüüd	nüid
Kaasik	Kaasikkud
sinna	`senna
natuke	nattukke
maa	maad
mets	metsa
sisse	`sisse
tegema	tegid
oma	omale
maan+tee	`maan+di
pealt	pialt
tee	tee
päriselt	päriselt
ja	ja
nii	nii
see	selle
kaju	kaeo
kõrvast	kõrvast
tegema	teind
et	et
ja	ja
poiss	poisid
olema	oo
seoke	seokst
jõmpsikas	jõmsikkad
alles	alles
nemad	neil
ja	ja
virutama	viruttasid
see	selle
kinni	`kin'ni
puhas	`puhtas
see	selle
kaju	kaeu
aga	aga
see	see
olema	`ol'li
ise	isi
hea	ia
kaju	kaeu
see	see
vesi	vesi
tulema	`tul'li
sealt	sealt
tamme+puu	tamme+buu
äär	ääre
alt	alt
nagu	nigu
sirinal	sirinal
ja	ja
haljas	al'las
olema	`ol'li
nagu	nigu
kuld	kuld
kohe	kohe
kui	kue
tema	ta
välja	`väl'la
jooksma	`joosis
aga	aga
nüüd	nüid
meie	mede
poiss	poiss
meie	meil
kodu	kodu
või	või
ütlema	`ütles
siin	sii
püha+päev	püha+ba
või	või
lau+päev	`lau+ba
kui	kue
tema	ta
siin	sii
siin	siin
mina	minu
juures	juures
käima	keis
ütlema	üt's
et	et
tema	ta
tegema	teind
see	selle
kaju	kaeo
nüüd	nüid
puhas	`puhtase
jälle	`jälle
nüüd	nüid
saama	saame
jälle	`jälle
sealt	sealt
vesi	vett
mina	maa
ütlema	`ütsin
et	et
kas	kass
aed	aija
ümber	`ümmer
ka	kaa
tegema	tegid
ütlema	üt's
et	et
jah	jahh
mina	ma
natuke	nattukke
ikka	ikke
tegema	tegin
ka	kaa
ei	ei
no	no
ikka	`ikke
mees	mehed
kaju	kaeo
ka	kaa
jah	jahh
ikka	`ikke
kaabakas	kaabakkatte
kaju	kaeo
meie	meije
hüüdma	`üitsime
ise+ki	isigi
tema	teda
kaabakas	kaabakkatte
kaju	kaeu
vahest	vahest
kuidas	kudas
meie	meil
tuju	tueu
olema	`ol'li
muidu	mudu
hüüdma	`üitsime
ikka	`ikke
Miili+augu	Miili+augu
kaju	kaeo
aga	aga
ikka	`ikke
jah	jahh
see	see
nemad	nende
nemad	nende
tegema	`tehtud
kaju	kaeu
jah	jahh
pidama	piab
olema	olema
ega	ega
mina	mina
olema	põle
nägema	näind
aga	aga
nii+moodi	nii+moodi
olema	oo
jutt	jutt
kui	kui
kui	kui
teine	teised
olema	on
mina	mulle
rääkima	`rääkkind
aga	aga
selle+pärast	selle+bärast
et	et
tema	tema
ei	ei
olema	ole
maa	maa
lähedal	lähedal
ja	ja
tema	tema
sedasi	sedasi
seal	seal
tee	tee
äär	ääre
peal	pial
ja	ja
tema	ta
võima	võis
ju	ju
olema	`olla
ka	ka
kui	ku
sina	sa
arvama	`arvad
üle	üle
tee	tee
just	just
minema	`minna
astuma	`astuda
paar	paar
samm	`sammu
kus	kuss
nemad	nende
koobas	koobas
see	see
kõrge	`kõrge
nukk	nukk
