mh	mh
selle+pärast	selle+bärast
mina	ma
ei	ei
tundma	tunne
kunagi	kunagi
et	et
mina	mull
puudus	`puudus
olema	onn
olema	olnud
et	et
mina	mull
kuskil	`kus'kil
no	no
siis	siss
kui	kui
mees	mees
esimene	esimene
mees	mees
ära	ära
surema	`surri
siis	siis
mina	mool
olema	`ol'li
küll	küll
siis	siis
mina	ma
saatma	`saat'sin
oma	omal
villane	villatse
kangas	`kanga
ä	ä
Tallinn	Tal'linnas
müüma	`müija
ja	ja
siis	siss
tulema	`tul'li
nagu	nagu
rohkem	`rohkem
raha	raha
tarvis	tarviss
aga	aga
muidu	mudu
söök	söögi
jaoks	jaoks
mina	mull
ei	ei
olema	olnud
no	no
aga	aga
siis	siiss
tulema	`tul'li
nagu	nagu
raha	raha
tarvis	`tarvis
mees	meest
matma	`matta
saatma	`saat'sin
oma	omal
villane	villase
kangas	`kanga
Tallinn	Tal'linnas
müüma	`müija
mees	mehe
õe+poeg	õe+poeg
müüma	müis
Tallinn	Tal'linnas
ära	ära
ja	ja
tooma	tõi
siis	siss
matus	mattuse
raha	raha
ja	ja
siis	siis
matma	`mat'sin
mees	mehe
maha	maha
just	just
mihkli+päeval	`mihkle+bäe
matma	`mat'sin
nüüd	nüid
mina	ma
olema	põle
enam	änam
see	sellest
saadik	saadik
siis	siiss
tulema	`tul'li
neli	neli
aasta	`aastad
olema	ol'lin
lesk	lesk
siis	siiss
tulema	`tul'li
see	see
sinna	`sinna
siis	sis
mina	ma
jälle	jälle
see	seda
siis	siss
hakkama	`akkasime
jälle	jälle
seal	seal
rentima	`ren'ttisime
maa	maad
ja	ja
tema	tema
hakkama	`akkas
juba	juba
maa	maad
himustama	imustama
ja	ja
siis	s
hakkama	`akkasime
töö	töös
käima	`käima
ja	ja
jälle	jälle
ja	ja
siis	siss
tegema	tegime
seal	seal
juba	juba
teine	teise
lehm	lehma
ostma	`os'tsime
ja	ja
no	no
siis	siss
ostma	`os'tis
talvel	talve
lank	`lankkisi
ja	ja
siis	siss
sedasi	sedasi
korjama	`korjasime
raha	raha
ja	ja
elama	elasime
ja	ja
nüüd	nüid
olema	oleme
siis	siss
siia+maani	`siija+maale
elama	elanud
ikka	`ikke
aga	aga
Treimani	`Treimanist
olema	onn
siia	`siija
viis+teist	`viis+teist
kilo+meeter	kilu+meettert
ja	ja
ä	ä
pere+mees	pere+meest
teenima	`teenisin
siis	siiss
kell	kell
kaheksa	kaheksa
laskma	`las'ti
mina	mind
e	e
rahu	rahu
pere+mees	pere+me
töö	tööst
ja	ja
hommikul	ommikku
pidama	pidin
kell	kell
neli	neli
jälle	jälle
töö	töös
olema	olema
ketrama	`ketrama
või	või
nagu	nagu
talvine	`talvisel
aeg	aeal
aga	aga
suvel	sui
olema	ol'li
ju	ju
põllu+töö	põllu+döö
ja	ja
siis	siiss
ometigi	`ommittigid
kuskil	`kus'kil
nagu	nagu
pidu	pidu
ei	ei
olema	olnud
aga	aga
noh	nohh
noor	noored
inimene	inimest
tahtma	tahavad
ja	ja
siis	siis
meie	me
käima	käisime
ä	ä
kus	kus
olema	`ol'li
siis	siiss
see	selle
suur	suure
pere+mees	pere+mehe
juures	juures
Krant	Kran'di
juures	juures
teenima	`teenisime
ja	ja
siis	siiss
tema	temal
olema	`ol'li
vend	vend
siin	siin
jälle	jäle
siin	siin
maja	maeas
ja	ja
siis	siiss
see	see
õde	õde
tädi	tädi
elama	elas
tema	taal
seal	sääl
maja	maeas
või	või
ja	ja
siis	siiss
jälle	jälle
tema	tema
mees	mehel
olema	`ol'li
mihkli+päev	`mihkle+bä
sünni+päev	sünni+bäe
ja	ja
nime+päev	nime+bä
ja	ja
tema	tema
hakkama	akkab
rääkima	`rääkkima
et	et
kuulma	kuule
Mann	Man'n
minema	lähme
ä	ä
jälle	jälle
sinna	`sinna
Kabli	Kablisse
jälle	jälle
sinna	sinna
sünni+päev	sünni+bäevale
mina	mena
ütlema	`üt'sin
aga	aga
kuidas	kudas
meie	me
saama	saame
meie	me
ei	ei
saama	saa
ju	ju
kuidagi	kudagi
et	et
meie	me
pere+mees	pere+me
käest	käest
luba	luba
ei	ei
tohtima	tohi
küsima	küsida
tema	tema
ütlema	`ütleb
et	et
katsuma	katsume
salaja	salaja
et	et
kui	ku
kaheksa	kahessast
pere+mees	pere+mees
magama	magama
või	või
ära	ära
minema	läheb
ja	ja
keerutama	keeruttame
uks	uks
kinni	`kinni
ja	ja
luhvt+ruut	`luht+ruut
noh	nohh
suur	suur
maja	maea
ja	ja
suur	suured
luhvt+ruut	`luht+ruudid
luhvt+ruut	`luht+ruudist
minema	lähme
välja	`väl'la
ja	ja
siis	siiss
võtma	`võt'sime
kätte	`kätte
ja	ja
minema	läksim
luhvt+ruut	`luht+ruudist
minema	läksime
välja	`väl'la
kell	kella
kaheksa	kahessamma
aeg	aeg
ja	ja
siis	siss
tantsima	`tant'sisime
ja	ja
pidustama	pidustasime
siin	siin
Kabli	Kablis
ära	ära
ja	ja
kell	kella
neli	nel'laks
minema	läksime
kodu	kodu
jälle	jälle
kui	ku
pere+mees	pere+mees
tulema	tul'li
meie	meid
üles	üles
ajama	ajama
ja	ja
olema	`ol'lime
kodu	kodus
jälle	`jälle
ja	ja
sedasi	sedasi
käima	käisime
siis	siiss
pidu	pidudel
egas	egass
enne	enne
rahva+maja	`rahva+maea
ega	ega
siuke	`sõukkest
pidu	pidu
olema	põlnud
see	seda
ei	ei
olema	olnud
nüüd	nüid
olema	onn
mis	miss
nüüd	nüid
viga	viga
olema	onn
nüüd	nüid
olema	onn
kino	kinud
ja	ja
värk	värgid
kõik	kõik
aga	aga
siis	siiss
olema	ol'li
ju	ju
seda+viisi	seda+viisi
et	et
et	et
kui	kui
sina	sa
saama	said
küla	küla
simman	`simmani
peal	peal
kuskil	`kus'kil
ja	ja
kui	ku
pere+mees	pere+mees
olema	oli
kuri	kuri
kah	kahh
nägema	nääd
ei	ei
laskma	lase
sina	sind
kah	kahh
ja	ja
muud+kui	muud+ku
olema	ole
kodus	kodu
jah	jahh
aga	aga
sedasi	sedasi
käima	käisime
ikka	`ikke
kui	kui
kuskil	`kus'kil
olema	`ol'li
miski	midagi
siis	siss
juba	juba
ä	ä
küla+poiss	küla+boisid
ja	ja
tüdruk	tüdrikkud
teadma	`täädsid
ära	ära
et	et
siis	siss
meie	meije
meie	meil
olema	oli
kange	`kange
pere+mees	pere+mees
mina	ma
viis	viis
aasta	`aastat
teenima	`teenisin
seal	seal
jälle	jälle
see	selle
pere+mees	pere+mehe
juures	`juures
ja	ja
kaks	kaks
aasta	`aastad
olema	ol'lin
kari	`karjass
nõnda	nõnda
et	ett
mina	ma
siis	siss
kogu	kogu
aeg	aea
olema	`ol'lin
ikka	`ikke
seal	seal
piits	piitsa
all	all
