mh	mh
olema	onn
nüüd	nüid
nagu	nagu
olema	ollette
ju	ju
nägema	näinu
pütt	püttad
kes	kellega
vedama	`veettaks
need	neid
räim	`räimi
ja	ja
silk	`silkku
ja	ja
need	nee
olema	onn
siis	siss
need	nee
hoidma	`oitsid
aga	aga
nüüd	nüid
olema	onn
aed	aijal
olema	onn
klaas+muna	klaas'+munad
jälle	jälle
sihuke	seoksed
no	no
need	neid
teie	te
olema	olette
ka	kaa
nägema	näinu
nägema	näinu
need	nee
olema	onn
peal	pääl
nüüd	nüid
muna	muna
olema	onn
siduma	seottud
siis	s
panema	`panttakse
sihuke	seokke
müts	müts
tema	ta
lina	linast
see	selle
kakuam	kakku+aami
lina	linast
tõmbama	tõmmettakse
ümber	`ümber
ja	ja
pael	pael
ümber	`ümber
ja	ja
siduma	`seottaks
sinna	`senna
need	ne
muna	munad
sinna	`senna
nöör	nööri
külge	`kül'ge
siis	sis
peal	pääl
kinni	`kin'ni
aed	aija
külge	`kül'ge
ikka	ikke
iga	iga
aasta	`aasta
kolm	kolm
aasta	`aastad
olema	on
tema	ta
ette	`ette
nägema	`nähtud
no	no
aed	aijad
seisma	seisavad
kaugemal	`kaugem
aga	aga
iga	iga
aasta	`aasta
nüüd	nüid
nemad	nad
mees	mehed
parandama	parandavad
praegu	`praegu
nüüd	nüid
vist	vist
olema	onn
läbi	läbi
juba	juba
nemad	naad
siin	siin
siin	sii
olema	ol'li
nemad	neil
mina	ma
ei	i
teadma	tea
kuus	kuus
või	või
seitse	seetse
tükk	`tükki
mis	mis
nemad	neil
olema	ol'li
siin	sii
sees	sehe
ja	ja
tooma	tõid
välja	`väl'ja
vedama	vedasid
heina+maa	eena+ma
peale	päle
laiali	laijali
ja	ja
ja	ja
seal	sääl
siis	siis
nüüd	nüid
parandama	parandavad
ja	ja
jälle	`jälle
ja	ja
ära	ära
ja	ja
siis	siiss
panema	`panttaks
kuivatama	kuivattaks
ära	ära
ja	ja
panema	`panttaks
küün	`küini
ja	ja
siis	s
kevadel	kevadi
jälle	`jälle
olema	onn
kui	ku
hakkama	`akkab
see	see
töö	töö
aeg	aeg
siis	siss
tõrvama	tõrvattakse
need	neid
jälle	`jälle
uuesti	uuwesti
suur	sure
käima	käevad
läbi	läbi
tõrv	tõrvast
ja	ja
see	sellest
muidu	muidu
nagu	nagu
tema	ta
ilma	ilma
tõrvama	`tõrvamatta
see	selletta
olema	on
siis	s
nemad	nad
ei	ei
pidama	pea
vastu	`vasta
kuigi	`kuigi
kaua	kauwa
need	nee
olema	onn
ee	ee
poom+vill	poom+vill
ja	ja
e	e
lõng	lõng
enamasti	änamast
poom+vill	poom+villa
niit	niidist
tegema	`tehtud
e	e
aga	a
kakuam	kakkud
ei	ei
olema	jole
kapron	`kapronist
need	nee
olema	onn
väga	väga
aga	aga
siis	s
mutt	mut'tid
ja	ja
sihuke	seokst
võrk	võrgud
või	või
nagu	nagu
need	nee
tegema	`tehtaks
küll	küll
kapron	kaproon
olema	on
nüüd	nüid
aga	aga
see	see
olema	on
ikka	ikke
enamasti	änamast
poom+vill	poom+vill
vabrik	vabrik
tegema	teeb
nemad	nad
valmis	`val'mis
seal	säl
suur	sured
pakk	pak'kid
ja	ja
siis	siss
iga	iga
sort	`sor'tti
kakuam	kakku+aam
olema	onn
need	ne
silm	silm
olema	onn
tihe	tihi
e	e
saama	sai
kaks	kaks
hobune	obust
ette	`ette
panema	`panttud
e	e
ja	ja
siis	ss
vanker	`vankriga
vedama	vidasin
need	nee
aed	aijad
ja	ja
kakuam	kakkud
ja	ja
muts	mutsud
ja	ja
pütt	püttad
kõik	kõik
saama	sai
hobune	obustega
kaks	kaks
hobune	obust
vanker	`vankri
ees	ees
ja	ja
meri	`merre
vedama	`veettud
sinna	`senna
suur	`suure
paat	`paat'ti
seal	sääl
ja	ja
siis	siis
nüüd	nüit
e	e
e	e
saama	sai
e	e
vedama	`veettud
ja	ja
mina	mina
siis	siss
tema	tema
olema	`ol'li
siin	siin
olema	ol'li
üks	ühe
aasta	`aasta
peale	`pääle
see	selle
ja	ja
ja	ja
need	ne
hobune	obust
olema	ol'lid
jälle	`jälle
seal	säl
e	e
kuur	kuur
või	või
maja	maea
olema	`ol'li
seal	sääl
kus	kuss
see	seda
taageldama	taageldadi
peale	pääl
olema	ol'lid
panema	pannu
ja	ja
ja	ja
need	ne
hobune	obust
olema	ol'lid
vist	vist
kartma	`kartnu
või	või
hirmuma	`jirmunu
seal	säl
ja	ja
tõmbama	tõmmanu
tema	ta
vanker	`vankre
ja	ja
see	selle
kuur	kuuri
nurk	nurga
vahele	vahel
ja	ja
pitsitama	pitsittas
siit	siit
tema	tall
kolm	kolm
ribi	ribi
katki	`kat'ti
ja	ja
nüüd	nüid
tema	taa
siis	siss
parandama	parandadi
tema	ta
ära	ära
olema	oli
haige+maja	`aige+maeas
ja	ja
kosuma	kosus
ära	ära
aga	aga
tema	taa
olema	ol'li
tundma	tunnud
ikka	`ikke
et	et
tema	temal
hakkama	`akkab
siin	sii
sihuke	`seokke
kasvaja	`kasvaja
või	või
miski	midagi
sees	sehe
ja	ja
ja	ja
minev	mineva
talv	talve
minema	läks
lõikus	`lõikkusel
suur	sur
mäda+paise	mäda+paese
või	või
mis	mis
tema	tall
seal	säl
sees	sehe
olema	olnu
mädanema	mädanenu
või	või
olema	olnu
ja	ja
see	sellest
jääma	jäi
ja	ja
jääma	jäi
ja	ja
siis	s
tema	ta
käima	käis
olema	ol'li
siin	sii
kevadel	kevadi
olema	ol'li
Pärnu	`Pärnus
haige+maja	`aige+maeas
nüüd	nüid
pidama	peab
Hääde+meeste	Ääde+meste
haigla	`aiglas
jälle	`jälle
olema	olema
aga	aga
pidama	peab
olema	olema
minek	minekku
peal	pääl
et	et
ei	ei
olema	jole
enam	änam
enam	änam
tema	tast
vist	vist
järele+jääja	järel+`jääjat
miski	midagi
olema	ol'li
ka	kaa
muidu	muidu
igavene	igavene
kange	kange
mees	mees
pilli+mees	pilli+mes
olema	ol'li
ja	ja
olema	ol'li
aga	aga
nägema	näed
kui	kui
inimene	inimesel
tulema	tuleb
õnnetus	õnnettus
ja	ja
hobune	obust
ega	ega
nüüd	nüid
vedama	`veettaks
jah	jah
auto	auttu
vedama	veab
koht	koha
pealt	bält
nemad	nad
ära	ära
viima	viib
sinna	senna
Kommunismi+Lipp	Kommunismi+`Lippu
või	või
Võiste	`Võiste
ja	ja
seal	sääl
olema	onn
e	e
sügav	sügav
tehi	tehi
käima	käib
äärde	`ääre
tehi	tehi
pealt	päält
laadima	`laettaks
kohe	kohe
jälle	jälle
siis	siss
nii	nii
ee	ee
värk	värk
ja	ja
paat	paadidesse
tehi	tehi
pealt	pält
või	või
sihuke	`seokke
nagu	nagu
e	e
tehi	tehi
olema	onn
paat	paat'
minema	läheb
kohe	kohe
just+kui	just+kui
siia	siija
sein	seina
äärde	`ääre
tulema	tuleb
ja	ja
siin	sii
olema	onn
sügav	sügav
vesi	ves'i
ja	ja
siin	sii
olema	onn
auto	auttu
seisma	seesab
peal	pääl
ja	ja
paat	paat'
olema	on
seal	säl
kõrval	`kõrvas
ja	ja
sealt	säält
kohe	kohe
minema	läheb
see	see
värk	värk
laadima	`laettakse
paat	`paat'ti
nagu	nagu
tehi	tehi
jah	jahh
nagu	nagu
linn	`linnass
laev	laev
tulema	tuleb
tehi	tehi
äärde	`ääre
noo	noo
ütlema	`öeldaks
ikka	ikka
nii	ni
tehi	tehi
sadam	sadamas
nõnda	nõnda
olema	on
seal	sääl
Võiste	`Võistes
