jaah	jaahh
jälle	`jälle
nooh	noohh
siis	siiss
vana	vana
Ots	Ots
Maris	Maris
rääkima	räägib
mina	`moole
et	et
tema	taa
olema	oli
ütlema	`itlend
sedasi	sedasi
et	et
see	see
olema	oli
enne	enne
esimene	esimine
saun	saun
mis	miss
poja+naine	poea+naine
mina	`moole
kütma	`küttas
noh	nohh
kuri+vaim	kuri+vaim
pidama	pidi
mina	ma
siis	ss
kusema	kusema
pudel	pudeli
mis	miss
mina	maa
siis	ss
sinna	`sönna
sisse	`sisse
pidama	pidi
panema	panema
pudel	pudel
olema	oli
tühi	tühi
see	see
siis	siis
esimene	esimine
saun	saun
mis	miss
mina	maa
olema	ole
tema	`taale
kütma	`küttand
minema	läks
mets	`metsa
nooh	noohh
siis	siis
Vahva	`Vahva
Mihkel	`Mihkel
tulema	tuli
siia	`siija
rääkima	`rääkkis
et	et
tulema	tulnd
hommikul	oomigu
sööma	sööma
järgi	`järge
nemad	nendele
ning	ning
magama	magab
nemad	nende
asemel	asemel
siis	siis
Lause	`Lause
Kusta	Kusta
ning	ning
Mihkel	`Mihkel
siis	siss
mina	moo
mees	mees
minema	läksid
siis	siis
Vahva	`Vahvalt
ära	ää
tooma	`tooma
siis	siss
see	s
tulema	tuleb
ära	ää
ning	ning
siis	siss
tõstma	töstab
seal	sääl
liha+natuke	liha+nattussi
ning	ning
vana	vana
Peeter	`Peetter
ei	ess
laskma	lahe
ära	ää
minema	`minna
jooduline	joodulised
kabima	kabisid
riie	`riide
puha	puhas
ning	ning
iga+üks	iga+üks
minema	minemas
no	no
mis	miss
meie	me
siis	ss
tegema	`teeme
pere+naine	pere+naine
mets	`metsas
ning	ning
mis	miss
meie	me
siis	s
siin	sii
tegema	`teeme
ütlema	`itles
et	et
Maris	Maris
teadma	tääb
kõik	käik
asi	asjad
ning	ning
Maris	Maris
tooma	toob
asi	asja
kätte	käde
ning	ning
et	et
lööma	löi
jalg	`jalga
vastu	`vastu
maa	maad
uks	ukse
ees	ees
mina	ma
tahtma	taha
vaatama	`vaatta
kes	kess
pidama	peaks
minema	minema
see	see
