sinna	sinna
palve+maja	`palve+majasse
seadma	`säetti
need	nendest
kirik	kirikku
altar	`alttari
tükk	`tükkest
ja	ja
need	nendest
kõik	kikk
üles	üless
nüüd	nüit
e	e
et	et
nüüd	nüüd
sinna	sinna
sisse	`sisse
minema	minnä
saama	saeme
siis	sõs
pidama	`peetti
seal	sääl
nii	ni
paar	paaer'
aasta	`aastet
aeg	`aega
jutlus	`jutlusi
ühte+puhku	`ütte+`puhku
seni	seni
kui	ku
kirik	kirikkut
ehitama	ehittedi
ja	ja
nüüd	nüüd
ei	eij
olema	ole
see	sedä
palve+maja	`palve+majad
enam	enäm
mitte	`mitte
üks	`ütte
e	e
nägema	nättä
ase	aset
ei	ei
tundma	tunne
ka	ka
enam	enämb
nõnda	nenda
ära	ärä
lõhkuma	lehutt
olema	omm
ja	ja
siis	siis
hakkama	akkatti
see	sedä
uus	uut'
ka	ka
kohe	kohe
ehitama	ehittem
peale	`pääle
meie	meil
olema	ol'li
see	sellest
olema	ol'li
hea	hää
et	et
tema	ta
olema	oli
kirik	kirikkul
olema	olli
tuli	tule
kassa	kassan
olema	olli
mina	mull
olema	olli
mälestus	mälestuse
raamat	raamat
ja	ja
seal	sääl
olema	olli
kõik	kikk
sisse	`sisse
kirjutama	kirjuttet
aga	aga
üks	üits
inimene	inimene
viima	viis
mina	mul
lugema	lugede
ja	ja
vaatama	`vaatte
mina	ma
ei	i
teadma	tää
kus	kus
tema	ta
jääma	jäi
ja	ja
inimene	inimen
et	et
ei	ei
tooma	tuu
tagasi	tagasi
ka	kaa
seal	sääl
olema	olli
täpselt	`täpselt
kõik	kikk
need	nii
armu+and	armu+anni
ja	ja
kõik	kikk
olema	olli
sees	sehen
see	sii
raamat	raamat
olema	olli
õpetaja	õppettaea
kinkima	`kinkkis
nõnda	nenda
iga	egäle
kes	kess
mees	mehel
saama	saeve
ja	jaa
ja	jaa
ja	jaa
leeri+laps	leeri+lastel
ja	ja
kuidas	kudass
olema	olli
ikka	ikke
