seda+viisi	sedä+visi
olema	ol´li
ju	ju
mina	meo
aeg	aeg
ema	emäd
oh	ohh
ema	emäst
olema	põlnd
tähtsus	`tähtsust
üks+kõik	üks+kõik
mis	miss
ema	emäl
olema	`ol´li
ema	emä
ema	emäst
ei	eij
olema	olnd
tähtsus	`tähtsust
see	sel
aeg	aeal
ema	emäl
olema	`ol´li
aga	aga
mis	miss
ema	emäl
olema	`ol´li
jah	jahh
aga	aga
siis	ss
pruut	pruudil
olema	ol´li
ikka	`ikki
valge	`valge
jah	jahh
ah+soo	ahh+soo
kui	kui
mina	minu
ema	emä
aga	aga
mina	mina
see	sedä
ei	i
võima	või
julgema	`julge
ütlema	ütteldä
mina	mea
ei	ei
teadma	tiä
see	sedä
ütlema	ütteldä
mis	miss
mina	minu
ema	emäl
olema	ol´li
kui	kui
ema	emä
käima	käis
laulatus	laalatsel
mina	minä
see	sedä
ei	ei
teadma	tiijä
aga	aga
vanasti	vanasti
olema	põleva
pulm	pulmaga
vanasti	vanasti
olema	ol´li
siuke	`siukke
mood	muud´
olema	olnd
jälle	jälle
veel	viil
kui	ku
mina	minu
ema	emä
olema	`ol´li
et	et
enne	`enne
olema	onn
laulatama	laalattud
ära	ärä
ja	ja
siis	siis
olema	onn
minema	läind
pärast	päräst
pulm	pulm
kokku	`kokko
enne	`enne
teine+kord	teene+gord
ära	ärä
laulatama	laalattud
aga	aga
kui	kui
mina	mina
käima	käisin
siis	sis
minema	`min´tti
ikka	ikki
pulm	pulmaga
kohe	kohe
kõige	kõege
pulm	pulmaga
laulatus	laalatselle
jah	jahh
enne	`enne
käima	`käidud
jälle	`jälle
siis	siss
ära	ärä
seal	siäl
kui	kui
mina	minu
ema	emä
mm	mm
mees	mehele
mineja	minijä
olema	`ol´li
ju	ju
käima	`käidud
no	no
siis	siis
olema	onn
seda+viisi	sedä+visi
olema	olnd
et	et
enne	`enne
olema	ol´li
laulatama	laalattud
enne	`enne
laulatama	laalattedi
ära	ärä
ja	ja
siis	siis
olema	oleva
püha+päev	pühä+bä
ikka	ikke
laulatama	laalattut
siis	sis
olema	onn
minema	läind
kas	kass
teisi+päev	tõesi+ba
või	või
kolma+päev	kolma+ba
kunas	kuna
need	niid
pulm	pulmad
siis	sis
kokku	`kokko
minema	läind
ja	ja
pidama	`peet´ti
siis	sis
pärast	päräst
pulm	`pulme
aga	aga
ikka	ikki
mitu	mittu
päev	`päevä
pidama	`peettud
see	sell
aeg	aal
ka	kaa
ikka	`ikke
kaks	kahel
pool	puul
mõlemad	mõlemil
pool	puul
peig+mees	peig+me
pool	puul
ja	ja
pruut	pruudi
pool	puul
see	se
olema	on
ikka	ikke
alati	alatti
olema	olnd
vanasti	vanasti
ikka	`ikke
jah	jah
no	no
üks	ühel
korraga	korraga
hakkama	akkasid
mõlemad	mõlemil
pool	puul
peale	`piäle
ja	ja
püha+päev	pühäb
hommikul	ommokko
hakkama	akkas
mõlemad	mõlemil
pool	puul
siis	sis
nagu	nigu
peig+mees	peig+me
poolt	puult
pulma+line	pulmalest
tulema	tul´lid
minema	läksid
pruut	pruudi
poole	pole
võtma	`võet´ti
siis	sis
seal	siäl
pruut	pruudi
pool	pol
olema	`ol´li
ka	ka
pulm	pulm
ja	ja
siis	sis
pruut	pruudi
poolt	pult
pulma+line	pulmalest
ühes+koos	ühes+koos
minema	läksid
kõik	kõik
laulatus	laalatselle
ja	ja
siis	sis
ühes+koos	ühes+kus
minema	läksid
kõik	kõik
pruut	pruudi
poole	`poole
esiteks	`es´ti
ja	ja
siis	siss
teine	teene
päev	päe
minema	`min´tti
siis	s
kõik	kõik
peig+mees	peig+me
poole	`poole
teine	teene
päev	pä
pidama	`peet´ti
siis	s
peig+mees	peig+me
pool	puul
ja	ja
siis	sis
siis	sis
noorik	noorik
viima	`viidi
õhtul	`õhta
ära	ärä
ee	ee
ikka	`ikke
ja	ja
püha+päev	pühä+bä
õhtul	`õhta
kodu	kodo
peig+mees	peig+me
poole	`poole
siuke	`siuksed
olema	onn
seda+viisi	sedä+visi
noh	noh
mis	miss
mina	mea
enam	änäm
mäletama	mälettä
jah	jaahh
raha	raha
korjama	kor´jatti
jah	jaahh
siis	sis
peig+mees	peig+me
pool	pul
kolma+päev	kolma+ba
esmas+päev	esmä+bä
õhtul	`õhta
siis	sis
peig+mees	peig+me
pool	puul
olema	ol´li
see	si
liik	liigu
joomine	`juumene
ja	ja
siis	siss
korjama	kor´jatti
raha	raha
nii+palju	nii+baelu
kui	kui
keegi	`kiigi
siis	sis
panema	pan´ni
vaatama	vatta
nüüd	nüid
viima	viijäs
suur	suured
kingitus	kin´gittust
aga	aga
ega	egä
siis	siss
vanasti	vanaasti
olema	põlnd
see	sedä
suur	`suurde
kingitus	kingittuste
viimine	`viimist
siis	siss
panema	`pan´tti
raha	raha
jah	jahh
üks	üks
taldrik	taldrek
olema	ol´li
laud	lauwa
peal	piäl
ja	ja
siis	siss
kutsuma	kutsutti
liik	`liikku
jooma	`juuma
jooma	jõid
liik	`liikku
ja	ja
ja	ja
panema	`pan´tti
raha	raha
no	nu
vanasti	vanasti
olema	ol´li
rubla	rubla
suur	suur
väärtus	`väärdus
siis	sis
rubla	rubla
viskama	visatti
ikka	`ikki
ära	ärä
ja	ja
ja	ja
võima	võis
panema	`panna
sinna	senna
nii+palju	nii+baelu
kui	ku
keegi	`kiigi
tahtma	`tahtis
jah	jahh
noh	nohh
eks	eks
sealt+poolt	siält+puult
mina	maa
täpselt	`täpselt
ei	ei
teadma	tiiä
ka	kaa
vist	vist
üks	üks
mõni	mõn´i
sugulane	sugulane
olema	`ol´li
aga	aga
mina	mull
ei	eij
olema	ole
ka	ka
meel	meeles
ei	ess
siis	s
täpselt	`täpselt
mina	ma
ei	i
võima	või
ütlema	ütteldä
aga	aga
siis	ss
mõni	mõn´i
sugulane	sugulane
ikka	`ikke
olema	olnd
kes	kiss
sinna	senna
kutsuma	`kutsus
jah	jahh
aga	aga
seda+viisi	sedä+visi
ei	eij
olema	olnd
päris	peris
et	et
nime+pidi	nime+bidi
ei	ei
hõikuma	õeguttud
üks+ki	`ühtegi
mina	menu
aeg	aeg
muud+kui	mukku
tulema	tulge
jooma	jooge
liik	`liikku
jaa	jaa
nime+pidi	nime+pidi
ei	ei
hõikuma	õeguttud
vanasti	vanasti
olema	ole
mina	mea
jah	jahh
mina	mea
olema	olen
kuulma	kuulnd
et	et
päris	peris
vana	vanal
aeg	al
olema	on
hõikuma	õeguttud
nimi	nime
pidi	pidi
see	sii
ja	ja
see	sii
tulema	tulgu
nüüd	nüid
liik	`liikku
jooma	`juuma
aga	aga
nüüd	nüid
seni	sen´i
kui	ku
mina	menu
