ah	ah
olema	ole
kuhu+ki	kohegi
minema	`min'na
keegi	kellegi
manu	manu
ja	ja
teine	teesil
olema	omm
need	ned
minema	läävä
kõik	kõik
oma	oma
memm	memmede
manu	manu
noh	nohh
kui	kui
sina	sina
itkema	ikked
mina	mina
ka	kahh
tema	temä
panema	paneb
suur	suure
heli	eliga
itkema	`ikkma
mina	ma
ütlema	ütli
ära	ärä
kõvasti	kõvast
itkema	ikke
rahvas	rahvas
kuulma	`kuuleb
taa	ta
ei	ei
kuulma	`kuule
ju	ju
muidu	`muud'u
et	et
laps	`latset
siin	siin
olema	omm
noh	nohh
miski	midägi
enam	enäm
mina	miä
nii	nii
mina	ma
kõnelema	kõnele
mis	miss
mina	ma
olema	ole
läbi	läbi
elama	elänu
ja	ja
jah	jahh
noh	nohh
siis	siss
es	ess
olema	ole
enam	enäm
miski	midägi
õõ	õ
olema	ol'li
saama	said
ju	ju
suur	suuress
ja	ja
ikka	ikki
teine	tõise
teenija	`tiinjä
teenija	`tiinjä
ja	ja
ikka	iks
ori	ori
muu	muut
kui	ku
miski	midägi
tegema	`tettä
mina	ma
ütlema	`ütli
küll	küll
ega	egä
mina	ma
küll	küll
mina	mia
mees	mehele
küll	küll
ei	ei
minema	läe
aga	aaga
väga	väega
raske	`raske
olema	ol'li
lina	lina
töö	tüü
ürss	ürsiga
käsi	käsi
masin	masin
noh	nohh
siis	s
ikka	ikki
juba	pa
ürss	ürss
too	tollega
lina	l'inu
ajama	`aada
mina	ma
es	ess
jõudma	`jõvva
siis	s
kargama	karassid
vänt	vändä
peale	pääle
õõ	õ
sinna	sinna
kõhuli	kõttuli
siis	ss
kui	kui
sina	sa
esmalt	esimelt
läbi	läbi
saama	said
es	ess
jõudma	jõvva
siis	siss
tellima	`tel'si
too	tolle
maha	maha
et	õt
mina	mina
ei	ei
jõudma	jõvva
ajama	`aeda
kes	kes
suur	suure
tugev	tugeva
õõ	õ
tüdruk	tüdrukku
olema	ol'liva
nood	nu
saama	saeva
küll	küll
ajama	`aeda
rabama	rabasi
küll	küll
kell	kell
üks	üits
rehi	rii
alla	alle
ja	ja
seni	seeni
kui	ku
hämarik	ämärigu
aeg	`aeni
tulema	tulid
ära	ärä
panema	pantti
panema	panime
teine	tõese
rehi	rehe
jälle	`jälle
üles	üless
